name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Josh Palmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.58,6.96,0.0,0.0,10,BUF,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,3.21,38.42,0.0,0.0,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,3.36,41.16,0.0,0.0
Josh Reynolds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.44,4.0,0.0,0.0,3,NYJ,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.77,6.99,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.88,7.77,0.0,0.0
Joshua Dobbs,0.75,4.0,8.75,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,NWE,4.1,1.0,0.0,35.39,0.0,0.0,6.92,1.11,0.0,0.0,0.0,0.0,3.62,0.84,0.0,33.72,0.0,0.0,5.92,0.97,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.79,8.36,0.06,0.0,8,KAN,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,1.92,20.14,0.13,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,1.67,19.43,0.1,0.0
Julian Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7,7.5,0.0,0.0,5,MIA,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.03,11.12,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,1.06,10.81,0.0,0.0
Julius Chestnut,0.0,0.0,0.0,0.0,0.0,0.0,2.33,3.7,0.0,0.54,0.31,0.62,0.0,0.0,4,TEN,0.0,2.29,0.58,0.0,0.0,0.0,8.45,0.0,0.18,0.35,0.0,0.0,0.0,1.87,0.5,0.0,0.0,0.0,7.09,0.0,0.16,0.28,0.0,0.0
Justice Hill,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.68,0.04,3.22,0.71,5.33,0.05,0.04,8,BAL,0.0,2.54,3.37,0.0,0.0,0.0,12.02,0.1,2.43,17.95,0.16,0.18,0.0,2.83,3.66,0.0,0.0,0.0,12.34,0.08,2.59,20.09,0.18,0.0
Justin Fields,0.71,7.72,9.73,0.04,0.0,0.34,5.17,4.84,0.13,0.0,0.0,0.0,0.0,0.0,5,NYJ,7.65,5.17,0.0,72.97,0.31,0.0,25.68,0.74,0.0,0.0,0.0,0.0,8.05,5.87,0.0,81.03,0.33,0.0,31.29,1.38,0.0,0.0,0.0,0.0
Justin Herbert,0.68,32.2,7.75,0.06,0.01,2.51,4.76,4.22,0.02,0.0,0.0,0.0,0.0,0.03,10,LAC,31.34,5.07,0.0,241.72,1.79,0.33,22.08,0.1,0.0,0.0,0.0,0.15,27.64,5.4,0.0,196.41,1.66,0.22,26.27,0.14,0.0,0.0,0.0,0.0
Justin Jefferson,1.0,0.02,22.0,0.0,0.0,0.0,0.18,4.0,0.0,9.62,0.68,9.08,0.09,0.0,10,MIN,0.02,0.17,9.93,0.43,0.0,0.0,0.67,0.0,6.59,85.95,0.88,0.0,0.02,0.19,10.03,0.46,0.0,0.0,0.66,0.0,6.84,91.51,1.02,0.0
