name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Kalif Raymond,DET,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,2.2,0.77,9.77,0.09,0.0,10,0.0,0.2,2.2,0.0,0.0,0.0,0.0,0.0,1.68,21.14,0.2,0.0,0.0,0.2,2.2,0.0,0.0,0.0,0.0,0.0,1.68,21.14,0.2,0.0
Kameron Johnson,TAM,0.0,0.0,0.0,0.0,0.0,0,0.67,5.5,0.0,0.33,0.0,0.0,0.0,0.0,3,0.0,0.66,0.33,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.33,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0
Kareem Hunt,KAN,0.0,0.0,0.0,0.0,0.0,0,15.38,3.64,0.04,2.46,0.72,5.5,0.0,0.0,13,0.0,15.67,2.39,0.0,0.0,0.0,57.72,0.69,1.73,13.35,0.0,0.0,0.0,15.67,2.39,0.0,0.0,0.0,57.72,0.69,1.73,13.35,0.0,0.0
Kayshon Boutte,NWE,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.53,0.63,8.66,0.04,0.0,15,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,2.9,40.15,0.19,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,2.9,40.15,0.19,0.0
Keaton Mitchell,BAL,0.0,0.0,0.0,0.0,0.0,0,7.5,2.0,0.0,0.5,1.0,28.0,0.0,0.0,2,0.0,7.66,0.5,0.0,0.0,0.0,15.47,0.0,0.5,14.09,0.0,0.0,0.0,7.66,0.5,0.0,0.0,0.0,15.47,0.0,0.5,14.09,0.0,0.0
Keenan Allen,CHI,0.0,0.07,0.0,0.0,1.0,0,0.0,0.0,0.0,8.07,0.58,6.15,0.06,0.01,15,0.07,0.0,8.04,0.0,0.0,0.06,0.0,0.0,4.67,49.21,0.48,0.08,0.07,0.0,8.04,0.0,0.0,0.06,0.0,0.0,4.67,49.21,0.48,0.08
Kendre Miller,NOR,0.0,0.0,0.0,0.0,0.0,0,6.5,3.79,0.03,1.33,0.62,4.12,0.0,0.0,6,0.0,6.43,1.33,0.0,0.0,0.0,24.05,0.21,0.81,5.47,0.0,0.0,0.0,6.43,1.33,0.0,0.0,0.0,24.05,0.21,0.81,5.47,0.0,0.0
Kenneth Gainwell,PHI,0.0,0.0,0.0,0.0,0.0,0,4.69,3.87,0.01,1.38,0.73,5.27,0.0,0.0,16,0.0,4.54,1.4,0.0,0.0,0.0,17.26,0.04,1.01,7.12,0.0,0.0,0.0,4.54,1.4,0.0,0.0,0.0,17.26,0.04,1.01,7.12,0.0,0.0
Kenneth Walker III,SEA,0.0,0.0,0.0,0.0,0.0,0,13.91,3.75,0.05,4.82,0.87,5.64,0.02,0.0,11,0.0,14.02,4.85,0.0,0.0,0.0,52.84,0.69,4.18,27.33,0.1,0.0,0.0,14.02,4.85,0.0,0.0,0.0,52.84,0.69,4.18,27.33,0.1,0.0
Kenny McIntosh,SEA,0.0,0.0,0.0,0.0,0.0,0,4.43,5.55,0.0,0.57,0.75,5.5,0.0,0.0,7,0.0,4.46,0.57,0.0,0.0,0.0,24.9,0.0,0.43,3.15,0.0,0.0,0.0,4.46,0.57,0.0,0.0,0.0,24.9,0.0,0.43,3.15,0.0,0.0
Kenny Pickett,PHI,0.6,8.4,6.93,0.05,0.02,4,1.8,1.67,0.11,0.0,0.0,0.0,0.0,0.11,5,8.52,1.74,0.0,57.01,0.4,0.2,2.86,0.18,0.0,0.0,0.0,0.2,8.52,1.74,0.0,57.01,0.4,0.2,2.86,0.18,0.0,0.0,0.0,0.2
Kenny Yeboah,NYJ,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.33,0.62,5.88,0.12,0.0,6,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.82,7.85,0.16,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.82,7.85,0.16,0.0
Keon Coleman,BUF,0.0,0.0,0.0,0.0,0.0,0,0.08,9.0,0.0,4.38,0.51,9.75,0.07,0.0,13,0.0,0.08,4.42,0.0,0.0,0.0,0.73,0.0,2.28,43.48,0.31,0.0,0.0,0.08,4.42,0.0,0.0,0.0,0.73,0.0,2.28,43.48,0.31,0.0
KhaDarel Hodge,ATL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.4,0.58,10.92,0.08,0.0,5,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,1.36,25.72,0.19,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,1.36,25.72,0.19,0.0
Khalil Shakir,BUF,0.0,0.0,0.0,0.0,0.0,0,0.13,2.0,0.0,6.67,0.76,8.21,0.04,0.01,15,0.0,0.13,6.73,0.0,0.0,0.0,0.26,0.0,5.16,55.76,0.27,0.07,0.0,0.13,6.73,0.0,0.0,0.0,0.26,0.0,5.16,55.76,0.27,0.07
Kirk Cousins,ATL,0.67,32.36,7.74,0.04,0.04,28,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.57,14,31.75,1.64,0.0,245.84,1.28,1.31,0.0,0.0,0.0,0.0,0.0,0.95,31.75,1.64,0.0,245.84,1.28,1.31,0.0,0.0,0.0,0.0,0.0,0.95
Kyle Allen,PIT,1.0,1.0,19.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Juszczyk,SFO,0.0,0.0,0.0,0.0,0.0,0,0.36,5.2,0.2,2.21,0.61,6.45,0.06,0.03,14,0.0,0.37,2.19,0.0,0.0,0.0,1.92,0.08,1.33,14.03,0.14,0.07,0.0,0.37,2.19,0.0,0.0,0.0,1.92,0.08,1.33,14.03,0.14,0.07
Kyle Pitts,ATL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.35,0.64,8.14,0.05,0.0,17,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,2.73,34.75,0.21,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,2.73,34.75,0.21,0.0
