odds_name,projection_name,confidence
Zach Ertz,Zach Ertz,
Zamir White,Zamir White,
Zay Flowers,Zay Flowers,
Zay Jones,Zay Jones,
AJ Brown,A.J. Brown,
Brian Thomas Jr,Brian Thomas,
Chris Rodriguez Jr.,Chris Rodriguez,
DJ Moore,D.J. Moore,
DK Metcalf,D.K. Metcalf,
Deebo Samuel Sr.,Deebo Samuel,
Joshua Palmer,Josh Palmer,
Marvin Mims Jr.,Marvin Mims,
Michael Penix Jr.,Michael Penix,
Ray-Ray McCloud III,Ray-Ray McCloud,
Travis Etienne Jr.,Travis Etienne,
